period,group,name,value
2019-03-31,investor_type,UK,45779.644
2019-03-31,investor_type,Europe,34466.703
2019-03-31,investor_type,Americas,43210.425
2019-03-31,investor_type,Other international,4287.692
2019-03-31,investor_type,Total,403602.725
2019-06-30,investor_type,Reserve Bank of Australia,NA
2019-06-30,investor_type,Interbank,66570.9845
2019-06-30,investor_type,Bank balance sheet,21029.937
2019-06-30,investor_type,Other domestic,64199.512
2019-06-30,investor_type,Japan,13864.905
2019-06-30,investor_type,Asia (ex Japan),42330.609
2019-06-30,investor_type,UK,34500.602
2019-06-30,investor_type,Europe,26933.873
2019-06-30,investor_type,Americas,29414.616
