Liability / Asset,Currency of Issue (all figures in AUD equivalent),Instrument,Maturity,date,value
LIABILITY,AUD,Treasury Notes,40767,2011-05-31,-0.195404126553373
LIABILITY,AUD,Treasury Notes,40767,2011-06-30,-0.114443171171213
LIABILITY,AUD,Treasury Notes,40767,2011-07-31,-0.0355496019379058
LIABILITY,AUD,Treasury Notes,40795,2011-03-31,-0.436457853775394
LIABILITY,AUD,Treasury Notes,40795,2011-04-30,-0.358135665222228
LIABILITY,AUD,Treasury Notes,40795,2011-05-31,-0.270908239241947
LIABILITY,AUD,Treasury Notes,40795,2011-06-30,-0.190053178860664
LIABILITY,AUD,Treasury Notes,40795,2011-07-31,-0.111727932449552
LIABILITY,AUD,Treasury Notes,40795,2011-08-31,-0.0218904049612183
LIABILITY,AUD,Treasury Notes,40837,2011-06-30,-0.303258397544114
LIABILITY,AUD,Treasury Notes,40837,2011-07-31,-0.224944185712637
LIABILITY,AUD,Treasury Notes,40837,2011-08-31,-0.136122912996286
LIABILITY,AUD,Treasury Notes,40837,2011-09-30,-0.0546593683822667
LIABILITY,AUD,Treasury Notes,40858,2011-07-31,-0.281660561513913
LIABILITY,AUD,Treasury Notes,40858,2011-08-31,-0.19281853874894
LIABILITY,AUD,Treasury Notes,40858,2011-09-30,-0.111754886797509
LIABILITY,AUD,Treasury Notes,40858,2011-10-31,-0.0273703072359407
LIABILITY,AUD,Treasury Notes,40893,2011-09-30,-0.206298168886966
LIABILITY,AUD,Treasury Notes,40893,2011-10-31,-0.122618573268986
LIABILITY,AUD,Treasury Notes,40893,2011-11-30,-0.041008032882565
LIABILITY,AUD,Treasury Notes,40942,2011-10-31,-0.254740358424741
LIABILITY,AUD,Treasury Notes,40942,2011-11-30,-0.174065012526623
LIABILITY,AUD,Treasury Notes,40942,2011-12-31,-0.0927814678308202
LIABILITY,AUD,Treasury Notes,40942,2012-01-31,-0.00547377341454183
LIABILITY,AUD,Treasury Notes,40963,2011-11-30,-0.230643022650417
LIABILITY,AUD,Treasury Notes,40963,2011-12-31,-0.149758483688383
