Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Short-Term AGS Held by Non-Resident Holdings,date,value
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1522454400,3491565641
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1530316800,2491695770
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1538265600,3993574175.4499998
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1546214400,2989682958.6199999
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1553990400,3993456457.4299998
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1561852800,2993261228.5300002
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1569801600,10482029577.370001
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1577750400,16153807990.24
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1585612800,21240057907.919998
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1593475200,58737746190.330002
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1601424000,63982031411.699997
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1609372800,46744315652.940002
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1617148800,33997921472.330002
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1625011200,27249768914.650002
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1632960000,28800482935.939999
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1640908800,34998220669.120003
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1648684800,28994641937.849998
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1656547200,27450506265.240002
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1664496000,26376166392.32
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1672444800,28346483611.720001
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1680220800,30752107908.84
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,1688083200,26345453644.41
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1056931200,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1064880000,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1072828800,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1080691200,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1088553600,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1096502400,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1104451200,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1112227200,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1120089600,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1128038400,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1135987200,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1143763200,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1151625600,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,1159574400,0
