Month,42582,42613,42643,date,value
12+ years,8778.0810000000001,5861.2965000000004,7960.0150000000003,42978,3745.4254999999998
12+ years,8778.0810000000001,5861.2965000000004,7960.0150000000003,43008,7108.6220000000003
12+ years,8778.0810000000001,5861.2965000000004,7960.0150000000003,43039,7119.5915000000005
12+ years,8778.0810000000001,5861.2965000000004,7960.0150000000003,43069,6875.8154999999997
12+ years,8778.0810000000001,5861.2965000000004,7960.0150000000003,43100,4108.7259999999997
12+ years,8778.0810000000001,5861.2965000000004,7960.0150000000003,43131,5582.2884999999997
12+ years,8778.0810000000001,5861.2965000000004,7960.0150000000003,43159,5752.6575000000003
12+ years,8778.0810000000001,5861.2965000000004,7960.0150000000003,43190,5942.7190000000001
12+ years,8778.0810000000001,5861.2965000000004,7960.0150000000003,43220,9742.8940000000002
12+ years,8778.0810000000001,5861.2965000000004,7960.0150000000003,43251,9656.9
